ds_x,Quarter,year,5 year bond yields,Core inflation,"Lime, Cement, & Fabricated Construction Materials Excl Glass & Clay Materials",Clay Construction Materials & Refractory Construction Materials,GDPm (Current Prices),Personal Income m,GDP per capita,Unemployment Rate,Median Household Inc,ResidentPopulation,ResidentPopulation_Growth_Rate
2025-09-01,Q3 2025,2025,2.2234456624427126,109.72664780359435,145.37504628118552,141.78224733264187,170623.71469138117,81587.53608630373,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-10-01,Q4 2025,2025,2.167110863006915,109.90919268568572,144.9629218514565,142.01616410030172,174181.08827532898,82310.29028891677,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-11-01,Q4 2025,2025,2.1629586209944343,110.02845128066232,146.04608051347563,142.35134399385308,174181.08827532898,82310.29028891677,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2025-12-01,Q4 2025,2025,2.1566214203328857,110.19899562222058,146.47536916750738,142.69527450811955,174181.08827532898,82310.29028891677,96158.21243062885,2.4036831059789803,9509.654324345642,4158108.4487674967,0.5681932697247039
2026-01-01,Q1 2026,2026,2.172526480988214,110.42491976699003,145.8113388304902,142.99970443036173,173973.4156326117,83032.8502013927,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-02-01,Q1 2026,2026,2.171530959949911,110.57442838265368,146.43097038570681,143.4619742008844,173973.4156326117,83032.8502013927,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-03-01,Q1 2026,2026,2.1708575578311957,110.56989725052324,147.2724058360226,144.2729092538285,173973.4156326117,83032.8502013927,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-04-01,Q2 2026,2026,2.0975856931449286,110.75619670375433,146.7824644154974,144.37288948815268,176046.90389039522,84039.39225327136,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-05-01,Q2 2026,2026,2.1503058681491467,110.76641334109684,147.96045103425485,144.87617822928948,176046.90389039522,84039.39225327136,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-06-01,Q2 2026,2026,2.17428045614694,110.78043439303018,148.09275546925056,145.51600518576535,176046.90389039522,84039.39225327136,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-07-01,Q3 2026,2026,2.1787203126011505,111.09550026296667,148.66392350233156,145.98756339739475,178422.30151484316,84693.55567347002,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-08-01,Q3 2026,2026,2.259039088004653,111.2394803688268,148.9828049357306,146.47946871264566,178422.30151484316,84693.55567347002,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
2026-09-01,Q3 2026,2026,2.291698151020152,111.32109174536973,149.79058859512077,146.85680184541414,178422.30151484316,84693.55567347002,99826.86969939717,2.4395294418994906,9723.29242098453,4189717.7842682227,0.7601854518752393
